,Nachname,Vornamen,Gebietsart,Gebietsnummer,Gebietsname,Gruppenname,Name,id,name
93,Helfrich,Mark,Wahlkreis,3,Steinburg – Dithmarschen Süd,CDU,Mark Helfrich,,
94,Hennrich,Michael,Wahlkreis,262,Nürtingen,CDU,Michael Hennrich,1.1322605273784893e+18,Michael Hennrich
95,Henrichmann,Marc,Wahlkreis,127,Coesfeld – Steinfurt II,CDU,Marc Henrichmann,44608858.0,Marc Henrichmann
96,Heveling,Ansgar,Wahlkreis,110,Krefeld I – Neuss II,CDU,Ansgar Heveling,,
97,Hierl,Susanne,Wahlkreis,232,Amberg,CSU,Susanne Hierl,1.3527425622605292e+18,Susanne Hierl
98,Hilse,Karsten,Wahlkreis,156,Bautzen I,AfD,Karsten Hilse,,
99,Hitschler,Thomas,Wahlkreis,211,Südpfalz,SPD,Thomas Hitschler,292151515.0,Thomas Hitschler
100,Hoffmann,Alexander,Wahlkreis,249,Main-Spessart,CSU,Alexander Hoffmann,1.1938168435191726e+18,Alexander Hoffmann
101,Hubertz,Verena,Wahlkreis,203,Trier,SPD,Verena Hubertz,3591923477.0,Verena Hubertz
102,Irlstorfer,Erich,Wahlkreis,214,Freising,CSU,Erich Irlstorfer,,
103,Janich,Steffen,Wahlkreis,158,Sächsische Schweiz-Osterzgebirge,AfD,Steffen Janich,,
104,Jarzombek,Thomas,Wahlkreis,106,Düsseldorf I,CDU,Thomas Jarzombek,37105136.0,Thomas Jarzombek
105,Jung,Andreas,Wahlkreis,287,Konstanz,CDU,Andreas Jung,,
106,Jung,Ingmar,Wahlkreis,179,Wiesbaden,CDU,Ingmar Jung,23296367.0,Ingmar Jung
107,Junge,Frank,Wahlkreis,13,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,SPD,Frank Junge,77928749.0,Frank Junge
108,Kaczmarek,Oliver,Wahlkreis,144,Unna I,SPD,Oliver Kaczmarek,231440493.0,Oliver Kaczmarek
109,Karliczek,Anja,Wahlkreis,128,Steinfurt III,CDU,Anja Karliczek,,
110,Kassautzki,Anna,Wahlkreis,15,Vorpommern-Rügen – Vorpommern-Greifswald I,SPD,Anna Kassautzki,2776064484.0,Anna Kassautzki
111,Kaufmann,Michael,Wahlkreis,195,Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis,AfD,Michael Kaufmann,,
